Origin,OneHop,TwoHop,ThreeHop
0,2,0,0
,18,2,2
,19,18,18
,22,19,19
,25,22,22
,34,34,25
,35,35,34
,39,39,35
,43,43,39
,53,53,43
,62,62,53
,71,71,62
,73,73,71
,79,79,73
,85,85,79
,96,96,85
,98,98,96
,100,100,98
,111,111,100
,112,112,111
,114,114,112
,116,116,114
,119,119,116
,121,121,119
,124,124,121
,130,130,124
,135,135,130
,138,138,135
,143,143,138
,153,153,143
,164,169,153
,169,170,164
,170,174,169
,174,176,170
,176,177,174
,177,185,176
,185,189,177
,189,190,185
,190,191,189
,191,193,190
,193,195,191
,195,205,193
,205,209,195
,209,210,205
,210,211,209
,211,215,210
,215,216,211
,216,219,215
,219,221,216
,221,222,219
,222,223,221
,223,226,222
,225,234,223
,226,237,225
,234,238,226
,237,241,234
,238,247,237
,240,267,238
,241,271,240
,247,272,241
,267,273,247
,268,281,267
,271,282,268
,272,285,271
,273,286,272
,281,291,273
,282,304,281
,285,307,282
,286,312,285
,291,313,286
,304,319,291
,307,322,304
,312,323,307
,313,332,312
,319,333,313
,322,337,319
,323,341,322
,326,343,323
,332,346,326
,333,347,332
,336,350,333
,337,351,336
,338,354,337
,341,356,338
,343,360,341
,346,375,343
,347,376,346
,350,379,347
,351,384,350
,354,395,351
,356,401,354
,358,402,356
,360,408,358
,366,412,360
,375,413,366
,376,418,375
,379,425,376
,384,428,379
,395,429,384
,401,430,395
,402,443,401
,408,444,402
,412,446,408
,413,460,412
,414,468,413
,418,469,414
,425,472,418
,428,475,425
,429,476,428
,430,480,429
,443,482,430
,444,483,443
,445,486,444
,446,490,445
,460,491,446
,462,494,460
,468,497,462
,469,502,468
,472,503,469
,475,504,472
,476,506,475
,480,515,476
,482,520,480
,483,523,482
,486,525,483
,490,526,486
,491,527,490
,494,532,491
,497,533,494
,502,534,497
,503,539,502
,504,542,503
,506,546,504
,515,551,506
,520,552,515
,523,564,520
,525,570,523
,526,573,525
,527,574,526
,532,576,527
,533,578,532
,534,582,533
,539,583,534
,542,584,539
,546,585,542
,551,588,546
,552,590,551
,564,591,552
,570,595,564
,573,598,570
,574,601,573
,576,603,574
,578,605,576
,582,607,578
,583,615,582
,584,618,583
,585,620,584
,588,626,585
,590,629,588
,591,635,590
,595,636,591
,598,640,595
,601,648,598
,603,657,601
,605,661,603
,606,675,605
,607,677,606
,,678,607
,,680,615
,,682,618
,,686,620
,,687,626
,,688,629
,,692,635
,,695,636
,,698,640
,,708,648
,,714,649
,,716,654
,,726,656
,,728,657
,,730,661
,,734,668
,,735,673
,,737,675
,,753,677
,,756,678
,,763,680
,,776,682
,,783,686
,,786,687
,,798,688
,,802,692
,,807,695
,,819,698
,,825,708
,,830,714
,,831,716
,,836,719
,,842,724
,,854,726
,,865,728
,,869,730
,,872,734
,,880,735
,,898,737
,,900,741
,,906,753
,,908,756
,,918,763
,,930,772
,,946,774
,,947,776
,,948,783
,,956,784
,,970,786
,,976,790
,,984,798
,,993,802
,,1005,807
,,1010,819
,,1011,825
,,1014,830
,,1015,831
,,1045,836
,,1052,842
,,1069,854
,,1071,865
,,1075,866
,,1080,868
,,1108,869
,,1114,872
,,1120,880
,,1121,898
,,1129,900
,,1146,906
,,1150,908
,,1154,911
,,1158,918
,,1167,919
,,1171,930
,,1174,946
,,1176,947
,,1186,948
,,1192,956
,,1198,957
,,1201,959
,,1203,962
,,1236,970
,,1247,975
,,1251,976
,,1265,978
,,1266,984
,,1275,985
,,1282,993
,,1286,1001
,,1298,1005
,,1307,1008
,,1323,1010
,,1324,1011
,,1326,1014
,,1336,1015
,,1338,1017
,,1346,1045
,,1351,1050
,,1353,1052
,,1359,1069
,,1365,1071
,,1366,1073
,,1384,1075
,,1394,1080
,,1395,1086
,,1403,1102
,,1404,1105
,,1405,1108
,,1406,1114
,,1412,1120
,,1414,1121
,,1415,1129
,,1416,1146
,,1426,1150
,,1430,1154
,,1440,1158
,,1441,1167
,,1444,1171
,,1455,1174
,,1459,1176
,,1461,1186
,,1463,1189
,,1474,1192
,,1479,1198
,,1488,1199
,,1492,1200
,,1497,1201
,,1503,1203
,,1508,1207
,,1513,1229
,,1516,1233
,,1529,1235
,,1542,1236
,,1543,1247
,,1546,1251
,,1558,1265
,,1568,1266
,,1594,1274
,,1603,1275
,,1614,1277
,,1619,1282
,,1627,1286
,,1638,1288
,,1639,1298
,,1642,1307
,,1649,1317
,,1651,1323
,,1656,1324
,,1660,1326
,,1661,1327
,,1663,1336
,,1671,1338
,,1684,1340
,,1686,1341
,,1687,1346
,,1689,1351
,,1695,1352
,,1698,1353
,,1703,1356
,,1715,1359
,,1720,1365
,,1725,1366
,,1741,1381
,,1745,1384
,,1749,1388
,,1759,1394
,,1766,1395
,,1767,1403
,,1773,1404
,,1776,1405
,,1786,1406
,,1791,1412
,,1801,1414
,,1806,1415
,,1807,1416
,,1810,1426
,,1812,1430
,,1813,1440
,,1827,1441
,,1848,1444
,,1852,1455
,,1859,1459
,,1868,1461
,,1881,1463
,,1891,1474
,,1897,1479
,,1899,1488
,,1907,1492
,,1910,1497
,,1917,1503
,,1921,1508
,,1922,1513
,,1923,1516
,,1933,1529
,,1940,1542
,,1941,1543
,,1948,1546
,,1953,1558
,,1954,1568
,,1970,1594
,,1982,1603
,,1992,1614
,,1997,1619
,,1999,1627
,,2000,1638
,,2001,1639
,,2002,1642
,,2003,1649
,,2027,1651
,,2028,1656
,,2040,1660
,,2049,1661
,,2050,1663
,,2051,1671
,,2053,1684
,,2056,1686
,,2059,1687
,,2067,1689
,,2073,1695
,,2082,1698
,,2088,1703
,,2091,1715
,,2100,1720
,,2105,1725
,,2123,1741
,,2132,1745
,,2139,1749
,,2144,1759
,,2159,1766
,,2160,1767
,,2181,1773
,,2182,1776
,,2184,1786
,,2185,1791
,,2200,1801
,,2204,1806
,,2208,1807
,,2211,1810
,,2240,1812
,,2241,1813
,,2242,1827
,,2251,1848
,,2252,1852
,,2255,1859
,,2273,1868
,,2274,1881
,,2280,1891
,,2281,1897
,,2283,1899
,,2285,1907
,,2290,1910
,,2297,1917
,,2305,1921
,,2308,1922
,,2312,1923
,,2319,1933
,,2320,1940
,,2331,1941
,,2341,1948
,,2344,1953
,,2355,1954
,,2356,1970
,,2357,1982
,,2360,1992
,,2361,1997
,,2363,1999
,,2365,2000
,,2366,2001
,,2372,2002
,,2378,2003
,,2389,2027
,,2390,2028
,,2391,2040
,,2398,2049
,,2406,2050
,,2413,2051
,,2428,2053
,,2471,2056
,,2482,2059
,,2488,2067
,,2493,2073
,,2499,2082
,,2500,2088
,,2515,2091
,,2555,2100
,,2562,2105
,,2564,2123
,,2584,2132
,,2612,2139
,,2619,2144
,,2629,2159
,,2631,2160
,,2654,2181
,,2657,2182
,,2673,2184
,,2676,2185
,,2714,2200
,,2736,2204
,,2744,2208
,,2745,2211
,,2754,2240
,,2755,2241
,,2779,2242
,,2798,2251
,,2810,2252
,,2821,2255
,,2842,2273
,,2861,2274
,,2867,2280
,,2878,2281
,,2890,2283
,,2909,2285
,,2914,2290
,,2917,2297
,,2918,2305
,,2935,2308
,,2970,2312
,,2990,2319
,,3002,2320
,,3010,2331
,,3012,2341
,,3018,2344
,,3021,2355
,,3039,2356
,,3073,2357
,,3074,2360
,,3087,2361
,,3089,2363
,,3092,2365
,,3100,2366
,,3120,2372
,,3123,2378
,,3128,2389
,,3138,2390
,,3157,2391
,,3165,2398
,,3166,2406
,,3167,2413
,,3175,2428
,,3180,2439
,,3206,2462
,,3207,2471
,,3210,2476
,,3222,2482
,,3229,2485
,,3231,2486
,,3273,2488
,,3279,2489
,,3287,2493
,,3301,2499
,,3315,2500
,,3325,2515
,,3328,2523
,,3332,2541
,,3336,2545
,,3337,2555
,,3340,2562
,,3359,2564
,,3364,2583
,,3371,2584
,,3380,2596
,,3382,2605
,,3384,2612
